NACA 65-110
1.00002037 -0.00049164
0.99617684 -0.00022427
0.99060042 0.00018817
0.98331358 0.00078366
0.97434457 0.00159125
0.96372763 0.00263658
0.95150264 0.00394069
0.93771449 0.00551608
0.92241182 0.00735976
0.90564733 0.00945920
0.88747775 0.01179470
0.86796546 0.01435283
0.84717576 0.01710708
0.82517870 0.02003321
0.80204750 0.02309907
0.77785905 0.02626973
0.75269242 0.02949770
0.72663040 0.03273568
0.69976180 0.03595754
0.67217540 0.03911107
0.64396120 0.04212710
0.61521415 0.04495255
0.58603299 0.04754628
0.55651654 0.04983951
0.52676638 0.05176059
0.49688737 0.05324024
0.46698864 0.05424561
0.43718151 0.05478878
0.40757636 0.05488698
0.37828197 0.05456744
0.34940432 0.05389310
0.32104633 0.05291469
0.29330923 0.05164860
0.26629240 0.05010358
0.24009137 0.04831092
0.21479952 0.04628717
0.19050713 0.04404949
0.16730052 0.04162089
0.14526261 0.03902151
0.12447287 0.03626894
0.10500639 0.03338425
0.08693475 0.03038505
0.07032241 0.02730647
0.05523130 0.02417292
0.04172533 0.02098381
0.02985757 0.01777545
0.01968203 0.01457388
0.01130198 0.01128569
0.00497026 0.00765753
0.00112977 0.00363699
0.00000000 0.00000000
0.00000000 0.00000000
0.00103454 -0.00365963
0.00489883 -0.00762519
0.01136147 -0.01097068
0.01988501 -0.01379777
0.03019021 -0.01645229
0.04217136 -0.01907168
0.05577357 -0.02164718
0.07094399 -0.02415166
0.08762021 -0.02659559
0.10574072 -0.02896320
0.12524130 -0.03122623
0.14605127 -0.03337325
0.16809629 -0.03538905
0.19129773 -0.03726150
0.21557353 -0.03897500
0.24083815 -0.04051104
0.26700231 -0.04185620
0.29397365 -0.04299739
0.32165750 -0.04390635
0.34995574 -0.04457689
0.37876831 -0.04499479
0.40799331 -0.04511100
0.43752594 -0.04486377
0.46725906 -0.04422709
0.49708407 -0.04318422
0.52689151 -0.04172333
0.55657415 -0.03987759
0.58602866 -0.03771566
0.61515463 -0.03530831
0.64385405 -0.03272291
0.67202888 -0.02999860
0.69958462 -0.02718662
0.72643107 -0.02435328
0.75247926 -0.02154815
0.77764032 -0.01879394
0.80183082 -0.01613410
0.82497080 -0.01361240
0.84698243 -0.01125907
0.86779141 -0.00910144
0.88732659 -0.00715826
0.90552129 -0.00545053
0.92231197 -0.00398516
0.93764025 -0.00277520
0.95145186 -0.00182573
0.96369672 -0.00113145
0.97432914 -0.00067095
0.98330887 -0.00041329
0.99060165 -0.00032210
0.99617956 -0.00035766
1.00002037 -0.00049164
